d:/E-Book-new/E-book/DBMS, SQL/SQL_Polnoe_rukovodstvo_Vtoroe_izdanie.djvu;10294682;9b84e73e6ac46673ca60f8e0b8ee79f7bd152de2aa43c17db967a1ad542ab2aa;
d:/E-Book-new/E-book/DBMS, SQL/Бервинов С.Г., Деревянко А.С. Практикум по языку SQL.rar;34449;366c5bb5454dbff23a5ceea6cbe03a4372e4ef4f8e77a09fcdfa1ed762baaf1e;
d:/E-Book-new/E-book/DBMS, SQL/В.В.Кириллов, Г.Ю.Громов. Структуризированный язык запросов (SQL). (Уч. пособие).rar;69602;2dacff3d6a0e63e2eb456bd954d0cba4a695d0491cb0b61f891cb1c33d13e351;
d:/E-Book-new/E-book/DBMS, SQL/Дейт К.Дж. - SQL и реляционная теория. Как грамотно писать код на SQL - 2010.pdf;4971299;c36df94cdaf6f10bad9b1d26d4ee6d2a4f97970d7e449efb82d1d108f20cd59a;
d:/E-Book-new/E-book/DBMS, SQL/Душан Петкович - Microsoft SQL Server 2008. Руководство для начинающих - 2009.djvu;11564650;421077ba30d7e2b74a94938928308ef0288e971beeb5749eabcab7691f58ea45;
d:/E-Book-new/E-book/DBMS, SQL/К.Е.Кляйн, Д.Кляйн, Б.Хант - SQL. Справочник, 3-е издание - 2010.pdf;6307934;cda06d1db2f2d3caab72e2f1502d1e4fb4f1574d9eb4ff86edbd8509bb7c6d5e;
d:/E-Book-new/E-book/DBMS, SQL/Карвин Б. - Программирование баз данных SQL. Типичные ошибки и их устранение (Профессиональные компьютерные книги) - 2012.djvu;9149518;30cea644a6bb383aee3a50d9a404a7de14012bdda5afb0a5ac4159c690309c7e;
d:/E-Book-new/E-book/DBMS, SQL/Малкольм Г.  Программирование для Microsoft SQL Server 2000 с использованием XML.pdf;33640829;73b2017b0432719d51d986c828f58fb76daeda7b113fd991d4aee0d730e226a5;
d:/E-Book-new/E-book/DBMS, SQL/Понимание SQL.rar;304664;bc9d10c4a6acf290feb36fb2bb2b43f29c06d952f16c1e0393a1fa7b7c3b5fdd;
d:/E-Book-new/E-book/DBMS, SQL/Презентация по курсу _Основы Transact-SQL_.ppt;101888;53cc9a306e8e5be2fe06042fb24210a571b54d22148f00b711543527b4e02f9e;
d:/E-Book-new/E-book/DBMS, SQL/Программирование баз данных SQL. Типичные ошибки и их устранение.djvu;9149518;30cea644a6bb383aee3a50d9a404a7de14012bdda5afb0a5ac4159c690309c7e;
d:/E-Book-new/E-book/DBMS, SQL/С.Д.Кузнецов. Стандарты языка реляционных баз данных SQL- краткий обзор.rar;27371;12f103cfee13db172ec90009b6f8ee44f3b040c1277ec3773245ccdf5cdddf3e;
d:/E-Book-new/E-book/DBMS, SQL/Справочник по Perl DBI для mSQL-mySQL.rar;367986;8ae6d5de0a709a43b3a93a9705902be58a93a46a419c5d01d9cdbc5c5c58cc4c;
d:/E-Book-new/E-book/DBMS, SQL/Справочное руководство по MySQL версии 4.0.11-gamma.rar;1694156;dd29eb52062928d9dd82965f3b0b19f6544c90adaaebfb599d50860deb62712e;
d:/E-Book-new/E-book/DBMS, SQL/Структуризированный язык запросов (SQL)(Учебное пособие).rar;104342;88151ee3b584979268ca3a8a4730042772de03eacd9d6bb8011d2c7e190bd5ef;
d:/E-Book-new/E-book/DBMS, SQL/Сэм Р. Алапати - Oracle Database 11g. Руководство администратора баз данных - 2010.pdf;16129000;acc32e593fdb7fa6f3877aecd263904e32f03873b4748def70fc67cae316a434;
d:/E-Book-new/E-book/DBMS, SQL/Теория и практика построения баз данных.djvu;10012559;7221fc5698ed4a223cedf76f1f24b61fb8c2c7d21fd322304f66eb71e7f16637;
d:/E-Book-new/E-book/DBMS, SQL/Шварц Б., Зайцев П., Ткаченко В. и др. - MySQL. Оптимизация производительности (2-е издание) - 2010.pdf;8092859;2dda063bea9a8a233e781089acc20044cdce64dcf79e97e708c59fa81d05eda0;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/00 Введение.ppt;140288;f5568973082cd55e576c3fe771197b1915bbd96c025add5779ae765adb5f4744;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/01 Написание простейших выражений на SQL.ppt;159744;c0b745d5c8f8d402a395f4ba31c6dac7669c4719ef204dbcc0e8ca6290e1c305;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/02 Ограничение и сортировка данных.ppt;204288;7311d2315f3ed885ec5fb05ceeb2fd3656ba093a822723f13977a4a892a6b514;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/03 Функции для одной строки.ppt;235008;f9b0529e56820ed41d83d2aa369334f4b917d60077b2e429f75ab8e48dbd153e;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/04 Вывод данных из нескольких таблиц.ppt;200192;f33e7971719e69b72ddd06336b8ff0bfca9a00b416e0d4798fcd5f369e6a250b;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/05 Агрегирование данных с использованием функций группировки.ppt;202752;12df301678225d0a4f9f0d55fa3fe63a1a8d9b8dc7470c4180cd20b6a069b6e2;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/06 Вложенные запросы.ppt;186880;c178fe97414e38e26dc7c5b0a51d1ad11dca024ffbc638be2c46dd6104a19bdb;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/07 Многостолбцовые подзапросы.ppt;151552;c24e270f6f504aae81a1017bda37af669e2d579ba5baa11652f6ebc6ad07a066;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/09 Манипулирование данными.ppt;342016;2c793740c94ce22d7102e6597414415b8b8b9a83379a86cc5e5f54dbf9b1105b;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/10 Создание и управление таблицами.ppt;385024;2c95d4ec81f340e7d8d3706ae1736efc6ab2740f3ff3ab5b71ddab815d07ae26;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/11 Наложение ограничений.ppt;452608;3fbd89ee2268fe548a6f1738813fc98b950acf7acc850af93e8671d1832ecdc2;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/myDiagram.bmp;3932214;2a232086840c7b6540f308bcffca26f51aba3976bc41169b6ee00651d9df2856;
d:/E-Book-new/E-book/DBMS, SQL/EPAM course/UniversTables.xls;17408;59dfea9a4f52f6aed3bb7b459db8e542efac074518be0746b62a3dd5264e5b0d;
